Dialect_Word,SAE_Word,Dialect_Prompt,SAE_Prompt,Polysemy_Prompt,dialect_word_count,person_in_prompt,polysemic
math,monastery,an old math,an old monastery,a student solving math problems on a chalkboard,1,0,1
math,monastery,a math on a hill,a monastery on a hill,a professor exploring complex math equations,1,0,1
math,monastery,a small math,a small monastery,a teacher explaining math concepts to a class,1,0,1
math,monastery,a painting of a math,a painting of a monastery,a pile of math textbooks on a desk,1,0,1
math,monastery,a busy math,a busy monastery,a shirt with math equations,1,1,1
math,monastery,a math in a dark forest,a monastery in a dark forest,a computer screen displaying math formulas,1,0,1
simkin,champagne,simkin on a wooden table,champagne on a wooden table,,1,0,0
simkin,champagne,simkin in a cabinet,champagne in a cabinet,,1,0,0
simkin,champagne,simkin on a table outside,champagne on a table outside,,1,0,0
simkin,champagne,a painting of some simkin,a painting of some champagne,,1,1,0
simkin,champagne,simkin on the beach,champagne on the beach,,1,0,0
simkin,champagne,simkin on top of a piano,champagne on top of a piano,,1,0,0
dai,midwife,an old dai,an old midwife,,1,1,0
dai,midwife,a dai with a woman,a midwife with a woman,,1,1,0
dai,midwife,a painting of a dai,a painting of a midwife,,1,1,0
dai,midwife,a young dai,a young midwife,,1,1,0
dai,midwife,a dai sitting down,a midwife sitting down,,1,1,0
dai,midwife,a photograph of a dai with a cat,a photograph of a midwife with a cat,,1,1,0
medico,medical practitioner,a medico at a table,a medical practitioner at a table,,1,1,0
medico,medical practitioner,an old medico,an old medical practitioner,,1,1,0
medico,medical practitioner,a medico at a park,a medical practitioner at a park,,1,1,0
medico,medical practitioner,a medico with a woman,a medical practitioner with a woman,,1,1,0
medico,medical practitioner,a medico with a notepad,a medical practitioner with a notepad,,1,1,0
medico,medical practitioner,a painting of a medico,a painting of a medical practitioner,,1,1,0
chick,bamboo blinds,a window covered with chick,a window covered with bamboo blinds,a fluffy chick in a nest,1,0,1
chick,bamboo blinds,well-designed chick,well-designed bamboo blinds,a mother hen with her adorable chicks,1,0,1
chick,bamboo blinds,dusty chick,dusty bamboo blinds,a newly hatched baby chick,1,0,1
chick,bamboo blinds,chick with green paint,bamboo blinds with green paint,a group of tiny chicks pecking at feed,1,0,1
chick,bamboo blinds,a doorway with chick,a doorway with bamboo blinds,a curious chick exploring its surroundings,1,0,1
chick,bamboo blinds,broken chick,broken bamboo blinds,a brood of chicks under a heat lamp,1,0,1
ghat,mountain pass,a dark ghat,a dark mountain pass,,1,0,0
ghat,mountain pass,a ghat covered in snow,a mountain pass covered in snow,,1,0,0
ghat,mountain pass,a crowded ghat,a crowded mountain pass,,1,0,0
ghat,mountain pass,a ghat with a nearby lake,a mountain pass with a nearby lake,,1,0,0
ghat,mountain pass,a painting of a beautiful ghat,a painting of a beautiful mountain pass,,1,0,0
ghat,mountain pass,an abandoned ghat,an abandoned mountain pass,,1,0,0
kirana,convenience store,an old kirana,an old convenience store,,1,0,0
kirana,convenience store,a modern kirana,a modern convenience store,,1,0,0
kirana,convenience store,a busy kirana,a busy convenience store,,1,0,0
kirana,convenience store,a kirana on fire,a convenience store on fire,,1,0,0
kirana,convenience store,an empty kirana,an empty convenience store,,1,0,0
kirana,convenience store,a painting of a kirana,a painting of a convenience store,,1,0,0
mandapa,temple,an old mandapa,an old temple,,1,0,0
mandapa,temple,a mandapa on a hill,a temple on a hill,,1,0,0
mandapa,temple,a painting of a mandapa,a painting of a temple,,1,0,0
mandapa,temple,a mandapa in a dark forest,a temple in a dark forest,,1,0,0
mandapa,temple,a mandapa in a city,a temple in a city,,1,0,0
mandapa,temple,a abandoned mandapa,an abandoned temple,,1,0,0
nai,barber,a nai in red,a barber in red,,1,1,0
nai,barber,an old nai,an old barber,,1,1,0
nai,barber,a small nai shop,a small barber shop,,1,0,0
nai,barber,a busy nai shop,a busy barber shop,,1,0,0
nai,barber,a nai by the chair,a barber by the chair,,1,1,0
nai,barber,a nai working,a barber working,,1,1,0
thana,police station,a thana in a city,a police station in a city,,1,0,0
thana,police station,a busy thana,a busy police station,,1,0,0
thana,police station,a thana in a small town,a police station in a small town,,1,0,0
thana,police station,a person entering a thana,a person walking into a police station,,1,1,0
thana,police station,a painting of a thana,a painting of a police station,,1,0,0
thana,police station,a photograph of a modern thana,a photograph of a modern police station,,1,0,0
abba,father,an abba in front of a house,a father in front of a house,,1,1,0
abba,father,a girl standing with her abba,a girl standing with her father,,1,1,0
abba,father,a crying abba,a crying father,,1,1,0
abba,father,an abba on a bed,a father on a bed,,1,1,0
abba,father,an old abba with a dog,an old father with a dog,,1,1,0
abba,father,an old abba in the kitchen,an old father in the kitchen,,1,1,0
pial,veranda,a beautiful pial,a beautiful veranda,,1,0,0
pial,veranda,an expensive looking pial,an expensive looking veranda,,1,0,0
pial,veranda,a modern looking pial,a modern looking veranda,,1,0,0
pial,veranda,a green pial,a green veranda,,1,0,0
pial,veranda,a dimly lit pial,a dimly lit veranda,,1,0,0
pial,veranda,a painting of a pial,a painting of a veranda,,1,0,0
nullah,riverbed,a dry nullah,a dry riverbed,,1,0,0
nullah,riverbed,a beautiful nullah in a painting,a beautiful riverbed in a painting,,1,0,0
nullah,riverbed,a nullah in a forest,a riverbed in a forest,,1,0,0
nullah,riverbed,a narrow nullah,a narrow riverbed,,1,0,0
nullah,riverbed,a small nullah,a small riverbed,,1,0,0
nullah,riverbed,a wet nullah,a wet riverbed,,1,0,0
rani,queen,a beautiful rani,a beautiful queen,,1,1,0
rani,queen,a rani in a garden,a queen in a garden,,1,1,0
rani,queen,a painting of an old rani,a painting of an old queen,,1,1,0
rani,queen,a rani covered in snow,a queen covered in snow,,1,1,0
rani,queen,a rani in a large hall,a queen in a large hall,,1,1,0
rani,queen,an old rani on a bed,an old queen on a bed,,1,1,0
brinjal,eggplant,a sliced brinjal,a sliced eggplant,,1,0,0
brinjal,eggplant,a brinjal on a table,an eggplant on a table,,1,0,0
brinjal,eggplant,brinjal in a basket,eggplant in a basket,,1,0,0
brinjal,eggplant,a painting of a brinjal,a painting of a eggplant,,1,1,0
brinjal,eggplant,a moldy brinjal,a moldy eggplant,,1,0,0
brinjal,eggplant,a dish with brinjal,a dish with eggplant,,1,0,0
khana,food,a table of khana,a table of food,,1,0,0
khana,food,a basket with khana,a basket with food,,1,0,0
khana,food,healthy khana,healthy food,,1,0,0
khana,food,khana in a cabinet,food in a cabinet,,1,0,0
khana,food,a person with some khana,a person with some food,,1,1,0
khana,food,a family enjoying khana,a family enjoying food,,1,1,0
nagar,town,a bustling nagar,a bustling town,,1,1,0
nagar,town,an abandoned nagar,an abandoned town,,1,0,0
nagar,town,view of a nagar,view of a town,,1,0,0
nagar,town,a beautiful nagar,a beautiful town,,1,0,0
nagar,town,a painting of a nagar,a painting of a town,,1,0,0
nagar,town,a lively nagar,a lively town,,1,1,0
oont,camel,a dying oont,a dying camel,,1,0,0
oont,camel,a oont next to water,a camel next to water,,1,0,0
oont,camel,a painting of a large oont,a painting of a large camel,,1,0,0
oont,camel,an oont eating food,a camel eating food,,1,0,0
oont,camel,two oonts in the street,two camels in the street,,1,0,0
oont,camel,an oont walking in the heat,a camel walking in the heat,,1,0,0
agarbatti,incense,agarbatti in a house,incense in a house,,1,0,0
agarbatti,incense,agarbatti on a table,incense on a table,,1,0,0
agarbatti,incense,a painting of agarbatti,a painting of incense,,1,1,0
agarbatti,incense,agarbatti burning,incense burining,,1,0,0
agarbatti,incense,red abarbatti,red incense,,1,0,0
agarbatti,incense,agarbatti on a shelf,incense on a shelf,,1,0,0
kulang,crane bird,a painting of a beautiful kulang,a painting of a beautiful crane bird,,1,0,0
kulang,crane bird,a large group of kulang,a large group of crane birds,,1,0,0
kulang,crane bird,a dirty kulang,a dirty crane bird,,1,0,0
kulang,crane bird,two kulangs next to each other,two crane birds next to each other,,1,0,0
kulang,crane bird,a sleeping kulang,a sleeping crane bird,,1,0,0
kulang,crane bird,a kulang eating food,a crane bird eating food,,1,0,0
godown,warehouse,a enormous godown,a enormous warehouse,,1,0,0
godown,warehouse,an abandoned godown,an abandoned warehouse,,1,0,0
godown,warehouse,a busy godown,a busy warehouse,,1,1,0
godown,warehouse,a painting of a godown,a painting of a warehouse,,1,0,0
godown,warehouse,a godown on fire,a warehouse on fire,,1,0,0
godown,warehouse,a dark abandoned godown,a dark abandoned warehouse,,1,0,0
medical hall,pharmacy,painting of a medical hall,painting of a pharmacy,,1,0,0
medical hall,pharmacy,a modern medical hall,a modern pharmacy,,1,0,0
medical hall,pharmacy,inside a medical hall,inside a pharmacy,,1,0,0
medical hall,pharmacy,a busy medical hall,a busy pharmacy,,1,0,0
medical hall,pharmacy,entrance of a medical hall,entrance of a pharmacy,,1,0,0
medical hall,pharmacy,a rural medical hall,a rural pharmacy,,1,0,0
petrol bunk,gas station,an abandoned petrol bunk,an abandoned gas station,,1,0,0
petrol bunk,gas station,a petrol bunk in a desert,a gas station in a desert,,1,0,0
petrol bunk,gas station,a photograph of a modern petrol bunk,a photograph of a modern gas station,,1,0,0
petrol bunk,gas station,a very busy petrol bunk,a very busy gas station,,1,1,0
petrol bunk,gas station,a petrol bunk in a big city,a gas station in a big city,,1,0,0
petrol bunk,gas station,a dirty petrol bunk,a dirty gas station,,1,0,0
mo-bike,motorcycle,a man with a blue mo-bike,a man with a blue motorcycle,,1,1,0
mo-bike,motorcycle,a black mo-bike,a black motorcycle,,1,1,0
mo-bike,motorcycle,three mo-bikes on the road,three motorcycles on the road,,1,0,0
mo-bike,motorcycle,a broken mo-bike,a broken motorcycle,,1,0,0
mo-bike,motorcycle,a mo-bike in the forest,a motorcycle in the forest,,1,0,0
mo-bike,motorcycle,a group of mo-bike,a group of motorcycles,,1,0,0
bundook,rifle,two bundooks leaning on each other,two rifles leaning on each other,,1,0,0
bundook,rifle,a person holding a bundook,a person holding a rifle,,1,0,0
bundook,rifle,a broken bundook,a broken rifle,,1,0,0
bundook,rifle,a rusty bundook,a rusty rifle,,1,0,0
bundook,rifle,a bundook in a store,a rifle in a store,,1,0,0
bundook,rifle,a bundook on the ground,a rifle on the ground,,1,0,0
handicraftsman,craftsman,an old handicraftsman,an old craftsman,,1,1,0
handicraftsman,craftsman,a group of handicraftsmen,a group of craftsmen,,1,1,0
handicraftsman,craftsman,a handicraftsman in a house,a craftsman in a house,,1,1,0
handicraftsman,craftsman,a dirty handiscraftsman,a dirty craftsman,,1,1,0
handicraftsman,craftsman,a handicraftsman in orange,a craftsman in orange,,1,1,0
handicraftsman,craftsman,a handicraftsman in a big city,a craftsman in a big city,,1,1,0
incharge,supervisor,an angry incharge,an angry supervisor,,1,1,0
incharge,supervisor,an old incharge,an old supervisor,,1,1,0
incharge,supervisor,an incharge in a room,a supervisor in a room,,1,1,0
incharge,supervisor,a painting of an incharge,a painting of a supervisor,,1,1,0
incharge,supervisor,an incharge in the office,a supervisor in the office,,1,1,0
incharge,supervisor,an incharge with a group of people,a supervisor with a group of people,,1,1,0
pani,water,some pani on the table,some water on the table,,1,0,0
pani,water,a child with pani,a child with water,,1,1,0
pani,water,dirty pani,dirty water,,1,0,0
pani,water,pani in the forest,water in the forest,,1,0,0
pani,water,pani in the house,water in the house,,1,0,0
pani,water,pani in the well,water in the well,,1,0,0
yatra,festival,a colorful yatra,a colorful festival,,1,0,0
yatra,festival,a lively yatra,a lively festival,,1,0,0
yatra,festival,a yatra in the summer,a festival in the summer,,1,0,0
yatra,festival,an indoor yatra,an indoor festival,,1,0,0
yatra,festival,a bustling yatra,a bustling festival,,1,0,0
yatra,festival,a yatra in the winter,a festival in the winter,,1,0,0
naka,checkpoint,a man next to a naka,a man next to a checkpoint,,1,1,0
naka,checkpoint,a small red naka,a small red checkpoint,,1,0,0
naka,checkpoint,a busy naka,a busy checkpoint,,1,0,0
naka,checkpoint,a busy naka,a busy checkpoint,,1,0,0
naka,checkpoint,an abandoned naka,an abandoned checkpoint,,1,0,0
naka,checkpoint,a naka in the winter,a checkpoint in the winter,,1,0,0
tiffin,luncheon,an outdoor tiffin,an outdoor luncheon,,1,0,0
tiffin,luncheon,a lively tiffin,a lively luncheon,,1,1,0
tiffin,luncheon,a tiffin in the building,a luncheon in the building,,1,1,0
tiffin,luncheon,an indoor tiffin,an indoor luncheon,,1,1,0
tiffin,luncheon,a tiffin in the city,a luncheon in the city,,1,1,0
tiffin,luncheon,a tiffin at school,a luncheon at school,,1,1,0
satta,gambling,the inside of a satta den,the inside of a gambling den,,1,1,0
satta,gambling,a satta room,a gambling room,,1,1,0
satta,gambling,a place of satta,a place of gambling,,1,1,0
satta,gambling,an bustling satta den,an bustling gambling den,,1,1,0
satta,gambling,a luxurious satta den,a luxurious gambling den,,1,1,0
satta,gambling,a group of people satta,a group of people gambling,,1,1,0
almirah,wardrobe,a luxurious almirah,a luxurious wardrobe,,1,0,0
almirah,wardrobe,an old almirah,an old wardrobe,,1,0,0
almirah,wardrobe,a painting of a almirah,a painting of a wardrobe,,1,0,0
almirah,wardrobe,an almirah in the bedroom,a wardrobe in the bedroom,,1,0,0
almirah,wardrobe,a broken almirah,a broken wardrobe,,1,0,0
almirah,wardrobe,an green almirah,an green wardrobe,,1,0,0
dicky,car trunk,a dicky filled with luggage,a car trunk filled with luggage,,1,0,1
dicky,car trunk,a dicky left open,a car trunk left open,,1,0,1
dicky,car trunk,a red dicky,a red car trunk,,1,0,1
dicky,car trunk,a damaged dicky,a damaged car trunk,,1,0,1
dicky,car trunk,a suitcase in a dicky,a suitcase in a car trunk,,1,0,1
dicky,car trunk,a dirty dicky,a dirty car trunk,,1,0,1
stepney,spare tire,a stepney mounted on a vehicle,a spare tire mounted on a vehicle,,1,0,0
stepney,spare tire,a worn-out stepney,a worn-out spare tire,,1,0,0
stepney,spare tire,a stepney leaning against a wall,a spare tire leaning against a wall,,1,0,0
stepney,spare tire,a black stepney,a black spare tire,,1,0,0
stepney,spare tire,a mechanic inspecting a stepney,a mechanic inspecting a spare tire,,1,1,0
stepney,spare tire,a stepney lying on the road,a spare tire lying on the road,,1,0,0
batchmate,classmate,a group photo of my batchmates,a group photo of my classmates,,1,1,0
batchmate,classmate,my batchmate smiling,my classmate smiling,,1,1,0
batchmate,classmate,two batchmates studying,two classmates studying,,1,1,0
batchmate,classmate,a batchmate at a desk,a classmate at a desk,,1,1,0
batchmate,classmate,batchmates outside the school,classmates outside the school,,1,1,0
batchmate,classmate,a batchmate playing basketball,a classmate playing basketball,,1,1,0
