Dialect_Word,SAE_Word,Dialect_Prompt,SAE_Prompt,
abba,father,an abba in front of a house; a girl standing with her abba; a crying abba; an abba on a bed; an old abba with a dog; an old abba in the kitchen,a father in front of a house; a girl standing with her father; a crying father; a father on a bed; an old father with a dog; an old father in the kitchen,
agarbatti,incense,agarbatti in a house; agarbatti on a table; a person holding agarbatti; agarbatti in a container; red abarbatti in the basket; agarbatti inside a store,incense in a house; incense on a table; a person holding incense; incense in a container; red incense in the basket; incense inside a store,
almirah,wardrobe,a luxurious almirah; an old almirah; an almirah with intricate designs; an almirah in the bedroom; a broken almirah; an enormous green almirah,a luxurious wardrobe; an old wardrobe; a wardrobe with intricate designs; a wardrobe in the bedroom; a broken wardrobe; an enormous green wardrobe,
brinjal,eggplant,a sliced brinjal; a brinjal on a table; brinjal in a basket; a woman with brinjal; a moldy brinjal; a dish with brinjal,a sliced eggplant; an eggplant on a table; eggplant in a basket; a woman with eggplant; a moldy eggplant; a dish with eggplant,
bundook,rifle,a person holding a bundook; a broken bundook; a rusty bundook; a bundook in a store; a bundook on the shelf; two bundooks leaning on a wall,a person holding a rifle; a broken rifle; a rusty rifle; a rifle in a store; a rifle on the shelf; two rifles leaning on a wall,
chick,bamboo blinds,a window covered with chick; chick with intricate designs; dusty chick; chick with green paint; a doorway with chick; broken chick,a window covered with bamboo blinds; bamboo blinds with intricate designs; dusty bamboo blinds; bamboo blinds with green paint; a doorway with bamboo blinds; broken bamboo blinds,
dai,midwife,an old dai; a dai with a woman; a man next to a dai; a young dai ; a dai inside a house; a photograph of a dai with a cat,an old midwife; a midwife with a woman; a man next to a midwife; a young midwife; a midwife inside a house; a photograph of a midwife with a cat,
ghat,mountain pass,a dark ghat illuminated by the moonlight; a ghat covered in snow; a ghat with large pine trees; a ghat with a nearby lake; a painting of a beautiful ghat; an abandoned ghat,a dark mountain pass illuminated by the moonlight; a mountain pass covered in snow; a mountain pass with large pine trees; a mountain pass with a nearby lake; a painting of a beautiful mountain pass; an abandoned mountain pass,
godown,warehouse,the inside of a enormous godown; an abandoned godown; a busy godown; a painting of an old godown; a godown on fire; a dark abandoned godown,the inside of a enormous warehouse; an abandoned warehouse; a busy warehouse; a painting of an old warehouse; a warehouse on fire; a dark abandoned warehouse,
handicraftsman,craftsman,an old handicraftsman; a handicraftsman in a house; a dirty handiscraftsman; a handicraftsman wearing orange; a handicraftsman in a big city; a group of handicraftsmen,an old craftsman; a craftsman in a house; a dirty craftsman; a craftsman wearing orange; a craftsman in a big city; a group of craftsmen,
incharge,supervisor,an angry incharge; an old incharge ; an incharge in a large room; a painting of an incharge; an incharge in the office ; an incharge with a group of people,an angry supervisor; an old supervisor; a supervisor in a large room; a painting of a supervisor; a supervisor in the office; a supervisor with a group of people,
khana,food,a table with lots of khana; a basket with khana; healthy khana; khana in a cabinet; a person with some khana; a family enjoying khana,a table with lots of food; a basket with food; healthy food; food in a cabinet; a person with some food; a family enjoying food,
kirana,convenience store,an old kirana; a modern kirana; a busy kirana; a kirana destroyed in a fire; an empty kirana; a neighborhood kirana,an old convenience store; a modern convenience store; a busy convenience store; a convenience store destroyed in a fire; an empty convenience store; a neighborhood convenience store,
kulang,crane bird,a painting of a beautiful kulang; a large group of kulang; a dirty kulang; a sleeping kulang; a kulang eating food; two kulangs next to each other,a painting of a beautiful crane bird; a large group of crane birds; a dirty crane bird; a sleeping crane bird; a crane bird eating food; two crane birds next to each other,
mandapa,temple,an old mandapa; a mandapa on a hill; a large mandapa with intricate designs; a mandapa in a dark forest; a mandapa in a city; a abandoned mandapa,an old temple; a temple on a hill; a large temple with intricate designs; a temple in a dark forest; a temple in a city; an abandoned temple,
math,monastery,an old math; a math on a hill; a small math in a city; a large math with intricate designs; a math with a crowd of people outside; a math in a dark forest,an old monastery; a monastery on a hill; a small monastery in a city; a large monastery with intricate designs; a monastery with a crowd of people outside; a monastery in a dark forest,
medical hall,pharmacy,a medical hall in a big city; a modern medical hall ; the inside of a medical hall; a destroyed medical hall; the entrance of a medical hall; a small medical hall in a rural area,a pharmacy in a big city; a modern pharmacy; the inside of a pharmacy; a destroyed pharmacy; the entrance of a pharmacy; a small pharmacy in a rural area,
medico,medical practitioner,a medico at a table outside; an old medico with a man; a medico at a park; a young medico with a woman; a medico with a notepad; a medico next to a window,a medical practitioner at a table outside; an old medical practitioner with a man; a medical practitioner at a park; a young medical practitioner with a woman; a medical practitioner with a notepad; a medical practitioner next to a window,
mo-bike,motorcycle,a man with a blue mo-bike; a woman next to a black mo-bike; a broken mo-bike; a mo-bike in the forest; a group of mo-bike; three mo-bikes on the road,a man with a blue motorcycle; a woman next to a black motorcycle; a broken motorcycle; a motorcycle in the forest; a group of motorcycles; three motorcycles on the road,
nagar,town,a bustling nagar; an abandoned nagar; birds-eye view of a nagar; a beautiful nagar in the forest; a nagar covered in snow; a lively nagar,a bustling town; an abandoned town; birds-eye view of a town; a beautiful town in the forest; a town covered in snow; a lively town,
nai,barber,a young nai wearing red; an old nai ; a small nai shop; a busy nai shop; a woman with a nai; a nai with a dog,a young barber wearing red; an old barber; a small barber shop; a busy barber shop; a woman with a barber; a barber with a dog,
naka,checkpoint,a man next to a naka; a red naka on the road; a long queue at the naka; a busy naka; a naka on the highway; a naka in the winter,a man next to a checkpoint; a red checkpoint on the road; a long queue at the checkpoint; a busy checkpoint; a checkpoint on the highway; a checkpoint in the winter,
nullah,riverbed,a dry nullah; a beautiful nullah in a forest; a nullah in a forest; a nullah in an alpine meadow; a small nullah illuminated by the moon; a wet nullah,a dry riverbed; a beautiful riverbed in a forest; a riverbed in a forest; a riverbed in an alpine meadow; a small riverbed illuminated by the moon; a wet riverbed,
oont,camel,a dying oont; a oont next to water; a painting of a large oont; an oont eating food; an oont walking in the heat; two oonts in the street,a dying camel; a camel next to water; a painting of a large camel; a camel eating food; a camel walking in the heat; two camels in the street,
pani,water,some pani on the table; a child with pani; dirty pani; pani in the forest; pani in the house; abundant pani in the village,some water on the table; a child with water; dirty water; water in the forest; water in the house; abundant water in the village,
petrol bunk,gas station,an abandoned petrol bunk; a petrol bunk in a desert; a photograph of a modern petrol bunk; a very busy petrol bunk; a petrol bunk in a big city; a dirty petrol bunk,an abandoned gas station; a gas station in a desert; a photograph of a modern gas station; a very busy gas station; a gas station in a big city; a dirty gas station,
pial,veranda,a beautiful pial; an expensive looking pial; a modern looking pial; a green pial; a dark pial in the night; a photograph of a pial in the rain,a beautiful veranda; an expensive looking veranda; a modern looking veranda; a green veranda; a dark veranda in the night; a photograph of a veranda in the rain,
rani,queen,a beautiful rani ; a rani in a garden; a painting of an old rani; a rani covered in snow; a rani in a large hall; an old rani on a bed,a beautiful queen; a queen in a garden; a painting of an old queen; a queen covered in snow; a queen in a large hall; an old queen on a bed,
satta,gambling,the inside of a satta den; a group of people satta in a room; a place of satta in a big city; an bustling satta den; a luxurious satta den; a group of people satta at a table,the inside of a gambling den; a group of people gambling in a room; a place of gambling in a big city; an bustling gambling den; a luxurious gambling den; a group of people gambling at a table,
simkin,champagne,simkin on a wooden table; simkin in a cabinet; simkin on a table outside; a person holding some simkin; simkin on the beach; simkin on top of a piano,champagne on a wooden table; champagne in a cabinet; champagne on a table outside; a person holding some champagne; champagne on the beach; champagne on top of a piano,
thana,police station,a thana in a city; a busy thana; a thana in a small town; a person walking into a thana; a car in front of a thana; a photograph of a modern thana,a police station in a city; a busy police station; a police station in a small town; a person walking into a police station; a car in front of a police station; a photograph of a modern police station,
tiffin,luncheon,an outdoor tiffin; a lively tiffin; a tiffin in the building; an indoor tiffin; a tiffin in the city; a tiffin at school,an outdoor luncheon; a lively luncheon; a luncheon in the building; an indoor luncheon; a luncheon in the city; a luncheon at school,
yatra,festival,a colorful yatra in the city; a lively yatra; a yatra in the summer; an indoor yatra; a bustling yatra; a yatra in the winter,a colorful festival in the city; a lively festival; a festival in the summer; an indoor festival; a bustling festival; a festival in the winter,
